IMD,LifeExpectancy,Sex,Borough,Type
11.527272727272727,85.47317248093513,Female,Regression,Regression
11.763636363636364,85.43970109578991,Female,Regression,Regression
12.0,85.40622971064468,Female,Regression,Regression
12.236363636363636,85.37275832549946,Female,Regression,Regression
12.472727272727273,85.33928694035423,Female,Regression,Regression
12.709090909090909,85.30581555520901,Female,Regression,Regression
12.945454545454545,85.27234417006377,Female,Regression,Regression
13.181818181818182,85.23887278491856,Female,Regression,Regression
13.418181818181818,85.20540139977332,Female,Regression,Regression
13.654545454545456,85.1719300146281,Female,Regression,Regression
13.89090909090909,85.13845862948287,Female,Regression,Regression
14.127272727272729,85.10498724433765,Female,Regression,Regression
14.363636363636363,85.07151585919242,Female,Regression,Regression
14.600000000000001,85.03804447404718,Female,Regression,Regression
14.836363636363636,85.00457308890196,Female,Regression,Regression
15.072727272727274,84.97110170375673,Female,Regression,Regression
15.309090909090909,84.93763031861151,Female,Regression,Regression
15.545454545454547,84.90415893346628,Female,Regression,Regression
15.781818181818181,84.87068754832106,Female,Regression,Regression
16.01818181818182,84.83721616317582,Female,Regression,Regression
16.254545454545454,84.8037447780306,Female,Regression,Regression
16.490909090909092,84.77027339288537,Female,Regression,Regression
16.727272727272727,84.73680200774015,Female,Regression,Regression
16.963636363636365,84.70333062259492,Female,Regression,Regression
17.2,84.6698592374497,Female,Regression,Regression
17.436363636363637,84.63638785230447,Female,Regression,Regression
17.672727272727272,84.60291646715925,Female,Regression,Regression
17.90909090909091,84.56944508201401,Female,Regression,Regression
18.145454545454548,84.5359736968688,Female,Regression,Regression
18.381818181818183,84.50250231172356,Female,Regression,Regression
18.618181818181817,84.46903092657834,Female,Regression,Regression
18.854545454545455,84.43555954143311,Female,Regression,Regression
19.090909090909093,84.40208815628789,Female,Regression,Regression
19.327272727272728,84.36861677114265,Female,Regression,Regression
19.563636363636363,84.33514538599744,Female,Regression,Regression
19.8,84.3016740008522,Female,Regression,Regression
20.03636363636364,84.26820261570697,Female,Regression,Regression
20.272727272727273,84.23473123056175,Female,Regression,Regression
20.509090909090908,84.20125984541652,Female,Regression,Regression
20.745454545454546,84.1677884602713,Female,Regression,Regression
20.981818181818184,84.13431707512606,Female,Regression,Regression
21.21818181818182,84.10084568998084,Female,Regression,Regression
21.454545454545453,84.06737430483561,Female,Regression,Regression
21.69090909090909,84.03390291969039,Female,Regression,Regression
21.92727272727273,84.00043153454516,Female,Regression,Regression
22.163636363636364,83.96696014939994,Female,Regression,Regression
22.4,83.9334887642547,Female,Regression,Regression
22.636363636363637,83.90001737910949,Female,Regression,Regression
22.872727272727275,83.86654599396425,Female,Regression,Regression
23.10909090909091,83.83307460881903,Female,Regression,Regression
23.345454545454544,83.7996032236738,Female,Regression,Regression
23.581818181818182,83.76613183852858,Female,Regression,Regression
23.81818181818182,83.73266045338335,Female,Regression,Regression
24.054545454545455,83.69918906823813,Female,Regression,Regression
24.29090909090909,83.6657176830929,Female,Regression,Regression
24.527272727272727,83.63224629794767,Female,Regression,Regression
24.763636363636365,83.59877491280244,Female,Regression,Regression
25.0,83.5653035276572,Female,Regression,Regression
25.236363636363635,83.53183214251199,Female,Regression,Regression
25.472727272727276,83.49836075736675,Female,Regression,Regression
25.70909090909091,83.46488937222153,Female,Regression,Regression
25.945454545454545,83.4314179870763,Female,Regression,Regression
26.18181818181818,83.39794660193108,Female,Regression,Regression
26.41818181818182,83.36447521678585,Female,Regression,Regression
26.654545454545456,83.33100383164063,Female,Regression,Regression
26.89090909090909,83.2975324464954,Female,Regression,Regression
27.127272727272725,83.26406106135018,Female,Regression,Regression
27.363636363636367,83.23058967620494,Female,Regression,Regression
27.6,83.19711829105972,Female,Regression,Regression
27.836363636363636,83.16364690591449,Female,Regression,Regression
28.07272727272727,83.13017552076927,Female,Regression,Regression
28.309090909090912,83.09670413562404,Female,Regression,Regression
28.545454545454547,83.06323275047882,Female,Regression,Regression
28.78181818181818,83.02976136533358,Female,Regression,Regression
29.018181818181816,82.99628998018837,Female,Regression,Regression
29.254545454545458,82.96281859504313,Female,Regression,Regression
29.490909090909092,82.92934720989791,Female,Regression,Regression
29.727272727272727,82.89587582475268,Female,Regression,Regression
29.96363636363636,82.86240443960745,Female,Regression,Regression
30.200000000000003,82.82893305446223,Female,Regression,Regression
30.436363636363637,82.79546166931699,Female,Regression,Regression
30.672727272727272,82.76199028417177,Female,Regression,Regression
30.909090909090907,82.72851889902654,Female,Regression,Regression
31.145454545454548,82.69504751388132,Female,Regression,Regression
31.381818181818183,82.66157612873609,Female,Regression,Regression
31.618181818181817,82.62810474359087,Female,Regression,Regression
31.854545454545452,82.59463335844563,Female,Regression,Regression
32.09090909090909,82.56116197330041,Female,Regression,Regression
32.32727272727273,82.52769058815518,Female,Regression,Regression
32.56363636363636,82.49421920300996,Female,Regression,Regression
32.8,82.46074781786473,Female,Regression,Regression
