Code,LA,Region,Underweight_Number,Underweight_Prevalence,,Healthy_Number,Healthy_Prevalence,,Overweight_Number,Overweight_Prevalence,,Obesity_Number,Obesity_Prevalence,,
E06000032,Luton,East of England, 75 ,2.2,," 1,445 ",62.6,, 300 ,13.0,, 515 ,22.3,,
E10000020,Norfolk,East of England, 105 ,1.2,," 2,640 ",66.9,, 495 ,12.5,, 765 ,19.4,,
E06000031,Peterborough,East of England, 55 ,1.8,," 2,290 ",65.1,, 480 ,13.7,, 710 ,20.2,,
E06000033,Southend-on-Sea,East of England, 30 ,1.5,," 1,670 ",61.9,, 380 ,14.1,, 625 ,23.1,,
E10000029,Suffolk,East of England, 110 ,1.5,, 890 ,59.3,, 195 ,13.0,, 400 ,26.7,,
E06000034,Thurrock,East of England, 40 ,1.6,, 985 ,53.7,, 275 ,15.0,, 555 ,30.2,,
E09000002,Barking and Dagenham,London, 65 ,1.8,," 8,450 ",62.9,," 1,955 ",14.6,," 2,815 ",21.0,,
E09000003,Barnet,London, 80 ,1.9,," 2,970 ",58.2,, 720 ,14.1,," 1,355 ",26.6,,
E09000004,Bexley,London, 65 ,2.1,," 4,005 ",57.4,, 950 ,13.6,," 1,880 ",27.0,,
E09000005,Brent,London, 100 ,2.9,," 1,960 ",59.1,, 450 ,13.6,, 830 ,25.0,,
E09000006,Bromley,London, 60 ,1.7,," 1,865 ",59.4,, 430 ,13.7,, 775 ,24.7,,
E09000007,Camden,London, 25 ,2.0,," 1,765 ",57.8,, 420 ,13.7,, 815 ,26.7,,
E09000008,Croydon,London, 85 ,2.0,," 1,755 ",61.1,, 365 ,12.7,, 705 ,24.6,,
E09000009,Ealing,London, 90 ,2.4,," 1,190 ",58.3,, 280 ,13.7,, 560 ,27.5,,
E09000010,Enfield,London, 70 ,1.8,," 2,275 ",65.6,, 480 ,13.8,, 685 ,19.7,,
E09000011,Greenwich,London, 50 ,1.5,," 1,550 ",61.3,, 380 ,15.0,, 560 ,22.1,,
E09000012,Hackney,London, 40 ,1.8,," 2,015 ",66.3,, 435 ,14.3,, 535 ,17.6,,
E09000013,Hammersmith and Fulham,London, 15 ,1.4,," 1,550 ",62.6,, 355 ,14.3,, 540 ,21.8,,
E09000014,Haringey,London, 40 ,1.8,," 1,295 ",63.0,, 310 ,15.1,, 425 ,20.7,,
E09000015,Harrow,London, 75 ,2.6,," 2,160 ",62.0,, 445 ,12.8,, 825 ,23.7,,
E09000016,Havering,London, 50 ,1.5,," 2,200 ",62.1,, 495 ,14.0,, 790 ,22.3,,
E09000017,Hillingdon,London, 95 ,2.6,," 1,690 ",59.2,, 390 ,13.7,, 730 ,25.6,,
E09000018,Hounslow,London, 75 ,2.3,," 4,345 ",58.7,, 955 ,12.9,," 1,930 ",26.1,,
E09000019,Islington,London, 25 ,1.6,," 1,520 ",61.2,, 350 ,14.1,, 580 ,23.3,,
E09000020,Kensington and Chelsea,London, 10 ,1.6,," 2,175 ",58.8,, 550 ,14.9,, 910 ,24.6,,
E09000021,Kingston upon Thames,London, 35 ,2.0,," 2,140 ",64.4,, 455 ,13.7,, 685 ,20.6,,
E09000022,Lambeth,London, 25 ,1.0,," 1,875 ",56.6,, 475 ,14.3,, 925 ,27.9,,
E09000023,Lewisham,London, 45 ,1.4,," 3,220 ",60.4,, 760 ,14.3,," 1,240 ",23.3,,
E09000024,Merton,London, 40 ,2.0,," 5,740 ",62.1,," 1,295 ",14.0,," 2,055 ",22.2,,
E09000025,Newham,London, 120 ,2.8,," 1,130 ",58.2,, 250 ,12.9,, 535 ,27.6,,
E09000026,Redbridge,London, 140 ,3.5,," 1,185 ",60.9,, 285 ,14.7,, 445 ,22.9,,
E09000027,Richmond upon Thames,London, 40 ,2.1,," 3,695 ",65.9,, 780 ,13.9,," 1,075 ",19.2,,
E09000028,Southwark,London, 40 ,1.5,," 1,840 ",58.0,, 430 ,13.6,, 855 ,27.0,,
E09000029,Sutton,London, 60 ,2.3,," 3,755 ",60.5,, 850 ,13.7,," 1,480 ",23.9,,
E09000030,Tower Hamlets,London, 85 ,2.7,," 2,400 ",62.0,, 530 ,13.7,, 885 ,22.9,,
E09000031,Waltham Forest,London, 60 ,2.1,," 1,160 ",65.4,, 255 ,14.4,, 340 ,19.2,,
E09000032,Wandsworth,London, 40 ,1.8,," 1,985 ",60.3,, 450 ,13.7,, 800 ,24.3,,
E09000033,Westminster,London, 20 ,2.0,," 5,145 ",64.6,," 1,115 ",14.0,," 1,580 ",19.8,,
