LA (code),LA (name),EstablishmentName,EstablishmentTypeGroup (name),Gender (name),ReligiousCharacter (name),NumberOfPupils,NumberOfBoys,NumberOfGirls,PercentageFSM,Street,Address3,Town,County (code),County (name),Postcode,GOR (code),GOR (name),DistrictAdministrative (code),DistrictAdministrative (name),GSSLACode (code),GSSLACode (name),Easting,Northing,MSOA (name),LSOA (name),PropsName,Country (code),Country (name),MSOA (code),LSOA (code),FSM,Latitude,Longitude
806,Middlesbrough,Tees Valley College,Independent schools,Mixed,,42.0,27.0,15.0,,Sotherby Road,,Middlesbrough,24,North Yorkshire,TS3 8BT,A,North East,E06000002,Middlesbrough,E06000002,E06000002,452111,519882,Middlesbrough 002,Middlesbrough 002D,Keys 7KS Limited,0,,E02002497,E01012061,,54.5714805110933,-1.1954622491686000
892,Nottingham,Green Crescent School,Independent schools,Mixed,,226.0,109.0,117.0,,Green Academy,Basford,Nottingham,27,Nottinghamshire,NG6 0DG,E,East Midlands,E06000018,Nottingham,E06000018,E06000018,455158,343543,Nottingham 008,Nottingham 008E,Abdullah Khan,0,,E02002875,E01013836,,52.98639436890600,-1.179823398193020
355,Salford,Toras Emes,Independent schools,Boys,,268.0,268.0,0.0,,6 Coke Street West,,Salford,99,,M7 4AH,B,North West,E08000006,Salford,E08000006,E08000006,383597,401783,Salford 010,Salford 010D,Arye Schleider,0,,E02001166,E01005651,,53.51246859297740,-2.248819385159080
937,Warwickshire,Northleigh House School,Independent schools,Mixed,,38.0,17.0,21.0,,,Hatton,Warwick,36,Warwickshire,CV35 7HZ,F,West Midlands,E07000222,Warwick,E10000031,E10000031,422468,269268,Warwick 004,Warwick 004C,Vivienne Morgan,0,,E02006522,E01031283,,52.3210569239731,-1.6717876013419800
315,Merton,RISE Education,Independent schools,Mixed,,19.0,18.0,1.0,,37-39 WESTERN ROAD,,,99,,CR4 3ED,H,London,E09000024,Merton,E09000024,E09000024,527554,169071,Merton 018,Merton 018C,Alton McDonald,0,,E02000706,E01003379,,51.40632958710720,-0.16751376535039300
301,Barking and Dagenham,Al Madina School for Girls,Independent schools,Girls,,98.0,0.0,98.0,,Victoria Road,,Barking,12,Essex,IG11 8PY,H,London,E09000002,Barking and Dagenham,E09000002,E09000002,544159,184860,Barking and Dagenham 015,Barking and Dagenham 015D,The Barking Muslims Association,0,,E02000016,E01000012,,51.54422957105170,0.07749858505267750
207,Kensington and Chelsea,SIAL,Independent schools,Mixed,,89.0,50.0,39.0,,154-156 Holland Park Avenue,,London,99,,W11 4UH,H,London,E09000020,Kensington and Chelsea,E09000020,E09000020,524256,180088,Kensington and Chelsea 007,Kensington and Chelsea 007C,La Scuola Italiana A London Charity,0,,E02000583,E01002873,,51.50607253426590,-0.21103806021957200
204,Hackney,Beis Yaakov Girls School,Independent schools,Girls,Charadi Jewish,109.0,0.0,109.0,,11 Amhurst Park,,London,99,,N16 5DH,H,London,E09000012,Hackney,E09000012,E09000012,533454,187867,Hackney 001,Hackney 001B,Beis Yaakov Girls School Ltd,GB,United Kingdom,E02000345,E01001809,,51.57388205952910,-0.07563868011642580
846,Brighton and Hove,The Montessori Place,Independent schools,Mixed,,164.0,77.0,87.0,,45 Cromwell Road,,Hove,11,East Sussex,BN3 3ER,J,South East,E06000043,Brighton and Hove,E06000043,E06000043,529442,105293,Brighton and Hove 020,Brighton and Hove 020B,Robert Gueterbock,0,,E02003510,E01016874,,50.83270567620750,-0.1632587946766590
871,Slough,Al-Madani Girls School,Independent schools,Girls,Muslim,69.0,0.0,69.0,,339 - 341 Bath Road,,Slough,50,Berkshire,SL1 5PR,J,South East,E06000039,Slough,E06000039,E06000039,494554,181026,Slough 006,Slough 006A,Aqeel Lone,0,,E02003412,E01016467,,51.52024869998690,-0.6386005125536920
