quote_date,region_name,price
1999-05-01,South West,1.8908334
1999-05-01,Wales,1.5875
1999-05-01,West Midlands,1.67
1999-05-01,Yorkshire & Humber,1.4683334
1999-06-01,East Anglia,2.1000001
1999-06-01,East Midlands,1.718
1999-06-01,London,1.8794446
1999-06-01,North,1.8033333
1999-06-01,North West,1.9491667
1999-06-01,Northern Ireland,2.056
1999-06-01,Scotland,1.9838462
1999-06-01,South East,1.7915385
1999-06-01,South West,1.9523076
1999-06-01,Wales,1.8342857
1999-06-01,West Midlands,1.7076924
1999-06-01,Yorkshire & Humber,1.4518182
1999-07-01,East Anglia,2.1000001
1999-07-01,East Midlands,1.7518182
1999-07-01,London,1.949375
1999-07-01,North,1.8425
1999-07-01,North West,1.9825001
1999-07-01,Northern Ireland,2.056
1999-07-01,Scotland,2.0069232
1999-07-01,South East,1.8010714
1999-07-01,South West,1.9523076
1999-07-01,Wales,1.6357143
1999-07-01,West Midlands,1.7561538
1999-07-01,Yorkshire & Humber,1.2738461
1999-08-01,East Anglia,2.1000001
1999-08-01,East Midlands,1.7518182
1999-08-01,London,1.9383333
1999-08-01,North,1.7988889
1999-08-01,North West,1.9825
1999-08-01,Northern Ireland,1.9833332
1999-08-01,Scotland,2.0069232
1999-08-01,South East,1.7892858
1999-08-01,South West,1.8133334
1999-08-01,Wales,1.63
1999-08-01,West Midlands,1.7761538
1999-08-01,Yorkshire & Humber,1.4269232
1999-09-01,East Anglia,2.1166666
1999-09-01,East Midlands,1.6341667
1999-09-01,London,1.9383333
1999-09-01,North,1.8100001
1999-09-01,North West,2.0107691
1999-09-01,Northern Ireland,2.0
1999-09-01,Scotland,2.2
1999-09-01,South East,1.817931
1999-09-01,South West,1.8063637
1999-09-01,Wales,1.6425
1999-09-01,West Midlands,1.6914285
1999-09-01,Yorkshire & Humber,1.3683333
1999-10-01,East Anglia,2.1166666
1999-10-01,East Midlands,1.6341667
1999-10-01,London,2.008125
1999-10-01,North,1.8
1999-10-01,North West,2.0992856
1999-10-01,Northern Ireland,1.9883333
1999-10-01,Scotland,2.050909
1999-10-01,South East,1.9150001
1999-10-01,South West,1.8346155
1999-10-01,Wales,1.6425
1999-10-01,West Midlands,1.6907142
1999-10-01,Yorkshire & Humber,1.3614285
1999-11-01,East Anglia,2.1166666
1999-11-01,East Midlands,1.7620001
1999-11-01,London,2.0057142
1999-11-01,North,1.85
1999-11-01,North West,2.2308333
1999-11-01,Northern Ireland,2.0
1999-11-01,Scotland,2.0184615
1999-11-01,South East,1.9523333
1999-11-01,South West,1.8346155
1999-11-01,Wales,1.6425
1999-11-01,West Midlands,1.7576923
1999-11-01,Yorkshire & Humber,1.3642857
1999-12-01,East Anglia,2.1166666
1999-12-01,East Midlands,1.7379999
1999-12-01,London,1.9993333
1999-12-01,North,1.85
1999-12-01,North West,2.2391667
1999-12-01,Northern Ireland,2.0
1999-12-01,Scotland,2.0249999
1999-12-01,South East,1.9003125
1999-12-01,South West,1.8346155
1999-12-01,Wales,1.6557143
1999-12-01,West Midlands,1.6907142
1999-12-01,Yorkshire & Humber,1.4183334
2000-01-01,East Anglia,2.1166666
2000-01-01,East Midlands,1.628
2000-01-01,London,2.0373333
2000-01-01,North,1.85
2000-01-01,North West,2.2358334
2000-01-01,Northern Ireland,2.0219998
2000-01-01,Scotland,2.0249999
2000-01-01,South East,1.8382759
2000-01-01,South West,1.8346155
2000-01-01,Wales,1.65375
2000-01-01,West Midlands,1.7078571
2000-01-01,Yorkshire & Humber,1.4453847
2000-02-01,East Anglia,1.9411111
2000-02-01,East Midlands,1.4779999
2000-02-01,London,2.0082352
2000-02-01,North,1.7944444
2000-02-01,North West,2.0800002
2000-02-01,Northern Ireland,1.9499999
2000-02-01,Scotland,2.0281818
2000-02-01,South East,1.8760871
2000-02-01,South West,1.8346155
2000-02-01,Wales,1.6425
2000-02-01,West Midlands,1.8836365
2000-02-01,Yorkshire & Humber,1.3681818
2000-03-01,East Anglia,1.9966666
2000-03-01,East Midlands,1.474
2000-03-01,London,2.0494118
2000-03-01,North,1.8166667
2000-03-01,North West,2.1407692
2000-03-01,Northern Ireland,1.9499999
2000-03-01,Scotland,2.072
2000-03-01,South East,1.9732001
2000-03-01,South West,1.860909
2000-03-01,Wales,1.8828572
2000-03-01,West Midlands,1.7758332
2000-03-01,Yorkshire & Humber,1.4081818
2000-04-01,East Anglia,1.9966666
2000-04-01,East Midlands,1.53
2000-04-01,London,1.9726316
2000-04-01,North,1.8166667
2000-04-01,North West,2.0873332
2000-04-01,Northern Ireland,1.9499999
2000-04-01,Scotland,2.1190908
2000-04-01,South East,1.9308333
2000-04-01,South West,1.88
2000-04-01,Wales,1.70125
2000-04-01,West Midlands,1.8446153
2000-04-01,Yorkshire & Humber,1.4172727
2000-05-01,East Anglia,1.9966666
2000-05-01,East Midlands,1.53
2000-05-01,London,1.9257895
2000-05-01,North,1.7825
2000-05-01,North West,2.0873332
2000-05-01,Northern Ireland,1.9833332
2000-05-01,Scotland,2.162
2000-05-01,South East,1.8956
2000-05-01,South West,1.87
2000-05-01,Wales,1.70125
2000-05-01,West Midlands,1.8138461
2000-05-01,Yorkshire & Humber,1.4533333
2000-06-01,East Anglia,2.0025
2000-06-01,East Midlands,1.511818
2000-06-01,London,1.9489473
2000-06-01,North,1.8322222
2000-06-01,North West,2.1113334
2000-06-01,Northern Ireland,2.09
2000-06-01,Scotland,2.125
2000-06-01,South East,1.8576922
2000-06-01,South West,1.8966666
2000-06-01,Wales,1.6942856
2000-06-01,West Midlands,1.9254546
2000-06-01,Yorkshire & Humber,1.46
2000-07-01,East Anglia,2.0077777
2000-07-01,East Midlands,1.488
2000-07-01,London,1.9266667
2000-07-01,North,1.8322222
2000-07-01,North West,2.2371428
2000-07-01,Northern Ireland,2.09
2000-07-01,Scotland,2.1881819
2000-07-01,South East,1.836923
2000-07-01,South West,1.8790909
2000-07-01,Wales,1.9733334
2000-07-01,West Midlands,1.8592308
2000-07-01,Yorkshire & Humber,1.486
2000-08-01,East Anglia,2.0144444
2000-08-01,East Midlands,1.5239999
2000-08-01,London,1.9244444
2000-08-01,North,1.8433334
2000-08-01,North West,2.2414286
2000-08-01,Northern Ireland,2.182
2000-08-01,Scotland,2.1516666
2000-08-01,South East,1.8284
2000-08-01,South West,1.9118183
2000-08-01,Wales,1.71875
2000-08-01,West Midlands,1.8514286
2000-08-01,Yorkshire & Humber,1.4590908
2000-09-01,East Anglia,2.0144444
2000-09-01,East Midlands,1.5239999
2000-09-01,London,1.9147059
2000-09-01,North,1.9157143
2000-09-01,North West,2.2471428
2000-09-01,Northern Ireland,2.182
2000-09-01,Scotland,2.1516666
2000-09-01,South East,2.0075998
2000-09-01,South West,1.911818
2000-09-01,Wales,1.71875
2000-09-01,West Midlands,1.8264285
2000-09-01,Yorkshire & Humber,1.4899999
2000-10-01,East Anglia,2.0144444
2000-10-01,East Midlands,1.5239999
2000-10-01,London,1.9382353
2000-10-01,North,1.87
2000-10-01,North West,2.2414286
2000-10-01,Northern Ireland,2.1000001
2000-10-01,Scotland,2.3154545
2000-10-01,South East,1.9596297
2000-10-01,South West,1.8936363
2000-10-01,Wales,1.71875
2000-10-01,West Midlands,1.9575
2000-10-01,Yorkshire & Humber,1.308
2000-11-01,East Anglia,2.0144444
2000-11-01,East Midlands,1.5239999
2000-11-01,London,1.96875
2000-11-01,North,1.9125
2000-11-01,North West,2.2414286
2000-11-01,Northern Ireland,2.1000001
2000-11-01,Scotland,2.220909
2000-11-01,South East,1.9815385
2000-11-01,South West,1.9066666
2000-11-01,Wales,1.71875
2000-11-01,West Midlands,2.0272727
2000-11-01,Yorkshire & Humber,1.4988889
2000-12-01,East Anglia,2.005
2000-12-01,East Midlands,1.5239999
2000-12-01,London,2.094
2000-12-01,North,1.8766665
2000-12-01,North West,2.2313335
2000-12-01,Northern Ireland,2.1000001
2000-12-01,Scotland,2.1683333
2000-12-01,South East,2.0507693
2000-12-01,South West,1.9066666
2000-12-01,Wales,1.7085714
2000-12-01,West Midlands,1.8692857
2000-12-01,Yorkshire & Humber,1.5609092
2001-01-01,East Anglia,2.0144444
2001-01-01,East Midlands,1.52
2001-01-01,London,2.06875
2001-01-01,North,1.9928571
2001-01-01,North West,2.2313335
2001-01-01,Northern Ireland,2.182
2001-01-01,Scotland,2.1683333
2001-01-01,South East,2.1004
2001-01-01,South West,1.9066668
2001-01-01,Wales,1.71875
2001-01-01,West Midlands,1.8692857
2001-01-01,Yorkshire & Humber,1.53
2001-02-01,East Anglia,1.7291666
2001-02-01,East Midlands,1.5263635
2001-02-01,London,2.0540001
2001-02-01,North,2.07
2001-02-01,North West,2.1975
2001-02-01,Northern Ireland,2.182
2001-02-01,Scotland,2.23
2001-02-01,South East,2.1957142
2001-02-01,South West,1.803077
2001-02-01,Wales,1.7266667
2001-02-01,West Midlands,1.8307143
2001-02-01,Yorkshire & Humber,1.698
2001-03-01,East Anglia,1.7175001
2001-03-01,East Midlands,1.5354545
2001-03-01,London,2.005294
2001-03-01,North,2.02
2001-03-01,North West,2.0985713
2001-03-01,Northern Ireland,2.182
2001-03-01,Scotland,2.187
2001-03-01,South East,2.066087
2001-03-01,South West,1.803077
2001-03-01,Wales,1.7266667
2001-03-01,West Midlands,1.8233334
2001-03-01,Yorkshire & Humber,1.5218182
