quote_date,description,item_id,price,item_name
1991-08-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.67264366,Sugar
1991-09-01,BUTTER-HOME PRODUCED-250G,211301,0.6358661,Butter
1991-09-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,0.988038,Eggs
1991-09-01,FLOUR-SELF-RAISING-1.5KG,210201,0.6276351,Flour
1991-09-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,1.078707,Milk
1991-09-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.6717376,Sugar
1991-10-01,BUTTER-HOME PRODUCED-250G,211301,0.6434701,Butter
1991-10-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.0437427,Eggs
1991-10-01,FLOUR-SELF-RAISING-1.5KG,210201,0.63707006,Flour
1991-10-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,1.0777911,Milk
1991-10-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.6692282,Sugar
1991-11-01,BUTTER-HOME PRODUCED-250G,211301,0.65709925,Butter
1991-11-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.0543646,Eggs
1991-11-01,FLOUR-SELF-RAISING-1.5KG,210201,0.6389024,Flour
1991-11-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,1.0761905,Milk
1991-11-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.66801304,Sugar
1991-12-01,BUTTER-HOME PRODUCED-250G,211301,0.6589568,Butter
1991-12-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.1094118,Eggs
1991-12-01,FLOUR-SELF-RAISING-1.5KG,210201,0.64093167,Flour
1991-12-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,1.071,Milk
1991-12-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.6669281,Sugar
1992-01-01,BUTTER-HOME PRODUCED-250G,211301,0.6737597,Butter
1992-01-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.1074301,Eggs
1992-01-01,FLOUR-SELF-RAISING-1.5KG,210201,0.65000004,Flour
1992-01-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,1.0669513,Milk
1992-01-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.6665147,Sugar
1992-02-01,BUTTER-HOME PRODUCED-250G,211301,0.65278685,Butter
1992-02-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.0641726,Eggs
1992-02-01,FLOUR-SELF-RAISING-1.5KG,210201,0.6575862,Flour
1992-02-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,1.0617777,Milk
1992-02-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.6649261,Sugar
1992-03-01,BUTTER-HOME PRODUCED-250G,211301,0.6458427,Butter
1992-03-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.05104,Eggs
1992-03-01,FLOUR-SELF-RAISING-1.5KG,210201,0.6706294,Flour
1992-03-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,1.0492398,Milk
1992-03-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.65849745,Sugar
1992-04-01,BUTTER-HOME PRODUCED-250G,211301,0.6527428,Butter
1992-04-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.0285715,Eggs
1992-04-01,FLOUR-SELF-RAISING-1.5KG,210201,0.6652023,Flour
1992-04-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,1.060565,Milk
1992-04-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.6513441,Sugar
1992-05-01,BUTTER-HOME PRODUCED-250G,211301,0.65184355,Butter
1992-05-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.0252556,Eggs
1992-05-01,FLOUR-SELF-RAISING-1.5KG,210201,0.6696,Flour
