Date,Region,Mean
1991-03-01,Scotland,0.7816667
1991-03-01,South East,0.7878571
1991-03-01,South West,0.78833336
1991-03-01,Wales,0.7633333
1991-03-01,West Midlands,0.8346154
1991-03-01,Yorkshire & Humber,0.79307693
1991-04-01,East Anglia,0.79375
1991-04-01,East Midlands,0.82600003
1991-04-01,London,0.83666664
1991-04-01,North,0.8557143
1991-04-01,North West,0.78866667
1991-04-01,Northern Ireland,0.74
1991-04-01,Scotland,0.7927273
1991-04-01,South East,0.8228572
1991-04-01,South West,0.805
1991-04-01,Wales,0.7941666
1991-04-01,West Midlands,0.8553846
1991-04-01,Yorkshire & Humber,0.83199996
1991-05-01,East Anglia,0.83875
1991-05-01,East Midlands,0.84999996
1991-05-01,London,0.8733333
1991-05-01,North,0.885
1991-05-01,North West,0.8225
1991-05-01,Northern Ireland,0.81
1991-05-01,Scotland,0.8553846
1991-05-01,South East,0.85181814
1991-05-01,South West,0.8414286
1991-05-01,Wales,0.81545454
1991-05-01,West Midlands,0.8892308
1991-05-01,Yorkshire & Humber,0.8666667
1991-06-01,East Anglia,0.847
1991-06-01,East Midlands,0.82625
1991-06-01,London,0.88785714
1991-06-01,North,0.89363635
1991-06-01,North West,0.86
1991-06-01,Northern Ireland,0.842
1991-06-01,Scotland,0.8776923
1991-06-01,South East,0.87153846
1991-06-01,South West,0.87142855
1991-06-01,Wales,0.84000003
1991-06-01,West Midlands,0.90923077
1991-06-01,Yorkshire & Humber,0.8477778
1991-07-01,East Anglia,0.8722222
1991-07-01,East Midlands,0.886
1991-07-01,London,0.8738461
1991-07-01,North,0.9109091
1991-07-01,North West,0.87533337
1991-07-01,Northern Ireland,0.815
1991-07-01,Scotland,0.85933334
1991-07-01,South East,0.8725
1991-07-01,South West,0.886
1991-07-01,Wales,0.846
1991-07-01,West Midlands,0.8861539
1991-07-01,Yorkshire & Humber,0.87125003
1991-08-01,East Anglia,0.87600005
1991-08-01,East Midlands,0.88
1991-08-01,London,0.8807692
1991-08-01,North,0.9075
1991-08-01,North West,0.891875
1991-08-01,Northern Ireland,0.815
1991-08-01,Scotland,0.8723077
1991-08-01,South East,0.8742857
1991-08-01,South West,0.8844445
1991-08-01,Wales,0.87272733
1991-08-01,West Midlands,0.915
1991-08-01,Yorkshire & Humber,0.86222225
1991-09-01,East Anglia,0.8545454
1991-09-01,East Midlands,0.89909095
1991-09-01,London,0.89666665
1991-09-01,North,0.9083333
1991-09-01,North West,0.90111107
1991-09-01,Northern Ireland,0.85
1991-09-01,Scotland,0.8742857
1991-09-01,South East,0.87399995
1991-09-01,South West,0.8872728
1991-09-01,Wales,0.885
1991-09-01,West Midlands,0.91933334
1991-09-01,Yorkshire & Humber,0.862
1991-10-01,East Anglia,0.8681818
1991-10-01,East Midlands,0.896
1991-10-01,London,0.9005555
1991-10-01,North,0.9183333
1991-10-01,North West,0.9064706
1991-10-01,Northern Ireland,0.85999995
1991-10-01,Scotland,0.894
1991-10-01,South East,0.88473684
1991-10-01,South West,0.8983333
1991-10-01,Wales,0.87545455
1991-10-01,West Midlands,0.9253846
